,,,,,,,,,,,,
Event Start,,,,Event End,,,,Video File of Timestamp,Event Label,Contacting Object,Opposing object,Comments 
Hr,Min,Sec,Frame,Hr,Min,Sec,Frame,Filename of video used for event time,,,,
4,46,20,,5,20,50,,EZ2 JG_11_7.mp4,NA,,,Player not in view
5,20,51,,5,47,26,,EZ2 JG_11_7.mp4,SL,,,Player on sideline
4,47,26,,5,50,35,,,NA,,,Player not in view
5,50,35,,5,56,48,,,NA,,,Player not in view
5,56,48,,6,23,29,,,NA,,,Player not in view
END OF VIDEO,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
END OF VIDEO,,,,,,,,,,,,